2019-04-24 22:40:05.955 00001 Controller!: Controller.ready start!
2019-04-24 22:40:05.967 00001 Controller!: Controller.ready end!
2019-04-24 22:43:37.503 00014 MiddleJPanel: 开启外挂!
2019-04-24 22:43:37.506 00020 Controller!: 进入循环
2019-04-24 22:43:37.659 00020 Controller!: hpzero异常!
2019-04-24 22:43:37.685 00020 PointCollection: 获取到角色血条:Point{x=811, y=117}
2019-04-24 22:43:37.700 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:43:37.701 00020 OnArenaStrategyImpl: masterCaidan:-11878222;petCaidan:-11878222
2019-04-24 22:43:37.702 00020 OnArenaStrategyImpl: 进入策略!
2019-04-24 22:43:37.703 00020 OnArenaStrategyImpl: 目标坐标:Point{x=486, y=575}
2019-04-24 22:43:38.800 00020 OnArenaStrategyImpl: 策略执行完毕!
2019-04-24 22:43:41.802 00020 Controller!: 进入循环
2019-04-24 22:43:41.928 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:43:41.929 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11045169
2019-04-24 22:43:44.930 00020 Controller!: 进入循环
2019-04-24 22:43:45.059 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:43:45.060 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-10386458
2019-04-24 22:43:48.061 00020 Controller!: 进入循环
2019-04-24 22:43:48.206 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:43:48.207 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-10386458
2019-04-24 22:43:51.208 00020 Controller!: 进入循环
2019-04-24 22:43:51.335 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:43:51.336 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-13999007
2019-04-24 22:43:54.337 00020 Controller!: 进入循环
2019-04-24 22:43:54.463 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:43:54.464 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-10386458
2019-04-24 22:43:57.465 00020 Controller!: 进入循环
2019-04-24 22:43:57.596 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:43:57.597 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-10386458
2019-04-24 22:44:00.599 00020 Controller!: 进入循环
2019-04-24 22:44:00.730 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:00.731 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11045169
2019-04-24 22:44:03.732 00020 Controller!: 进入循环
2019-04-24 22:44:03.876 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:03.877 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11045169
2019-04-24 22:44:06.878 00020 Controller!: 进入循环
2019-04-24 22:44:07.014 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:07.015 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11637832
2019-04-24 22:44:10.015 00020 Controller!: 进入循环
2019-04-24 22:44:10.133 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:10.134 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11637832
2019-04-24 22:44:13.134 00020 Controller!: 进入循环
2019-04-24 22:44:13.261 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:13.261 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11045169
2019-04-24 22:44:16.262 00020 Controller!: 进入循环
2019-04-24 22:44:16.392 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:16.392 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11045169
2019-04-24 22:44:19.393 00020 Controller!: 进入循环
2019-04-24 22:44:19.508 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:19.508 00020 OnArenaStrategyImpl: masterCaidan:-7387337;petCaidan:-4687958
2019-04-24 22:44:22.509 00020 Controller!: 进入循环
2019-04-24 22:44:22.641 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:22.642 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-10386458
2019-04-24 22:44:25.642 00020 Controller!: 进入循环
2019-04-24 22:44:25.771 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:25.772 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11638344
2019-04-24 22:44:28.772 00020 Controller!: 进入循环
2019-04-24 22:44:28.909 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:28.910 00020 OnArenaStrategyImpl: masterCaidan:-11878222;petCaidan:-11878222
2019-04-24 22:44:28.910 00020 OnArenaStrategyImpl: 进入策略!
2019-04-24 22:44:28.911 00020 OnArenaStrategyImpl: 目标坐标:Point{x=486, y=575}
2019-04-24 22:44:29.938 00020 OnArenaStrategyImpl: 策略执行完毕!
2019-04-24 22:44:32.940 00020 Controller!: 进入循环
2019-04-24 22:44:33.072 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:33.072 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-10386458
2019-04-24 22:44:36.073 00020 Controller!: 进入循环
2019-04-24 22:44:36.206 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:36.207 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11374653
2019-04-24 22:44:39.207 00020 Controller!: 进入循环
2019-04-24 22:44:39.347 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:39.348 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-12296543
2019-04-24 22:44:42.349 00020 Controller!: 进入循环
2019-04-24 22:44:42.487 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:42.488 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-13999007
2019-04-24 22:44:45.488 00020 Controller!: 进入循环
2019-04-24 22:44:45.620 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:45.621 00020 OnArenaStrategyImpl: masterCaidan:-13741485;petCaidan:-11374653
2019-04-24 22:44:48.622 00020 Controller!: 进入循环
2019-04-24 22:44:48.751 00020 OnArenaStrategyImpl: 结束战斗!
2019-04-24 22:44:51.751 00020 Controller!: 进入循环
2019-04-24 22:44:51.876 00020 OnArenaStrategyImpl: 结束战斗!
2019-04-24 22:44:54.876 00020 Controller!: 进入循环
2019-04-24 22:44:55.006 00020 OnArenaStrategyImpl: 结束战斗!
2019-04-24 22:44:58.007 00020 Controller!: 进入循环
2019-04-24 22:44:58.137 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:44:58.138 00020 OnArenaStrategyImpl: masterCaidan:-12010064;petCaidan:-12009808
2019-04-24 22:44:58.138 00020 OnArenaStrategyImpl: 进入策略!
2019-04-24 22:44:58.138 00020 OnArenaStrategyImpl: 目标坐标:Point{x=486, y=575}
2019-04-24 22:44:59.147 00020 OnArenaStrategyImpl: 策略执行完毕!
2019-04-24 22:45:02.148 00020 Controller!: 进入循环
2019-04-24 22:45:02.274 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:02.275 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-12362337
2019-04-24 22:45:05.275 00020 Controller!: 进入循环
2019-04-24 22:45:05.402 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:05.403 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11769674
2019-04-24 22:45:08.403 00020 Controller!: 进入循环
2019-04-24 22:45:08.526 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:08.526 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11769162
2019-04-24 22:45:11.527 00020 Controller!: 进入循环
2019-04-24 22:45:11.655 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:11.655 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-14064800
2019-04-24 22:45:14.656 00020 Controller!: 进入循环
2019-04-24 22:45:14.781 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:14.782 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-12362337
2019-04-24 22:45:17.783 00020 Controller!: 进入循环
2019-04-24 22:45:17.909 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:17.910 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11769674
2019-04-24 22:45:20.911 00020 Controller!: 进入循环
2019-04-24 22:45:21.036 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:21.037 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11769162
2019-04-24 22:45:24.037 00020 Controller!: 进入循环
2019-04-24 22:45:24.162 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:24.163 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11176499
2019-04-24 22:45:27.163 00020 Controller!: 进入循环
2019-04-24 22:45:27.287 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:27.287 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11176499
2019-04-24 22:45:30.288 00020 Controller!: 进入循环
2019-04-24 22:45:30.411 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:30.412 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-10517789
2019-04-24 22:45:33.412 00020 Controller!: 进入循环
2019-04-24 22:45:33.533 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:33.533 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-11505983
2019-04-24 22:45:36.534 00020 Controller!: 进入循环
2019-04-24 22:45:36.659 00020 OnArenaStrategyImpl: 进入战斗!
2019-04-24 22:45:36.659 00020 OnArenaStrategyImpl: masterCaidan:-13807277;petCaidan:-12362337
2019-04-24 22:45:39.660 00020 Controller!: 进入循环
2019-04-24 22:45:39.787 00020 OnArenaStrategyImpl: 进入战斗!
